year,state,wvalue,lvalue
2011,Iceland,321000,female
1995,Iceland,157000,male
1996,Iceland,157000,male
1997,Iceland,157000,male
1998,Iceland,157000,male
1999,Iceland,170000,male
2000,Iceland,191000,male
2001,Iceland,211000,male
2002,Iceland,221000,male
2003,Iceland,234000,male
2004,Iceland,245000,male
2005,Iceland,278000,male
2006,Iceland,301000,male
2007,Iceland,332000,male
2008,Iceland,352000,male
2009,Iceland,360000,male
2010,Iceland,374000,male
2011,Iceland,393000,male
1995,Iraq,292000,female
1996,Iraq,292000,female
1997,Iraq,292000,female
1998,Iraq,292000,female
1999,Iraq,292000,female
2000,Iraq,292000,female
2001,Iraq,292000,female
2002,Iraq,292000,female
2003,Iraq,292000,female
2004,Iraq,292000,female
2005,Iraq,292000,female
2006,Iraq,292000,female
2007,Iraq,292000,female
2008,Iraq,292000,female
2009,Iraq,292000,female
2010,Iraq,292000,female
2011,Iraq,292000,female
1995,Iraq,357000,male
1996,Iraq,357000,male
1997,Iraq,357000,male
1998,Iraq,357000,male
1999,Iraq,357000,male
2000,Iraq,357000,male
2001,Iraq,357000,male
2002,Iraq,357000,male
2003,Iraq,357000,male
2004,Iraq,357000,male
2005,Iraq,357000,male
2006,Iraq,357000,male
2007,Iraq,357000,male
2008,Iraq,357000,male
2009,Iraq,357000,male
2010,Iraq,357000,male
2011,Iraq,357000,male
1995,Ireland,1978,female
1996,Ireland,1978,female
1997,Ireland,1978,female
1998,Ireland,1978,female
1999,Ireland,1978,female
2000,Ireland,1978,female
2001,Ireland,1978,female
2002,Ireland,1978,female
